Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [LSB]	G_Y [LSB]	G_Z [LSB]	G_X [dps]	G_Y [dps]	G_Z [dps]	T [LSB]	T [degC]	Quat x	Quat y	Quat z	Quat w	
498	1805	-3558	1365	440.420	-868.152	333.060	89	-74	6	6.230	-5.180	0.420	29	25.113	-0.204995	-0.535157	0.525858	0.628383	
9852	1807	-3583	1493	440.908	-874.252	364.292	100	-59	7	7.000	-4.130	0.490	29	25.113	-0.204793	-0.535195	0.526318	0.628030	
19207	1840	-3650	1471	448.960	-890.600	358.924	84	-56	14	5.880	-3.920	0.980	35	25.137	-0.204539	-0.534953	0.526895	0.627836	
28563	1788	-3693	1404	436.272	-901.092	342.576	82	-60	31	5.740	-4.200	2.170	35	25.137	-0.204402	-0.534822	0.527404	0.627564	
37919	1719	-3626	1375	419.436	-884.744	335.500	107	-70	41	7.490	-4.900	2.870	48	25.188	-0.204460	-0.534764	0.527978	0.627112	
47274	1699	-3505	1395	414.556	-855.220	340.380	137	-78	30	9.590	-5.460	2.100	48	25.188	-0.204478	-0.534634	0.528704	0.626605	
56630	1761	-3439	1444	429.684	-839.116	352.336	147	-74	19	10.290	-5.180	1.330	26	25.102	-0.204227	-0.534387	0.529497	0.626228	
65985	1813	-3463	1449	442.372	-844.972	353.556	132	-59	23	9.240	-4.130	1.610	26	25.102	-0.203731	-0.534075	0.530233	0.626032	
75341	1841	-3555	1467	449.204	-867.420	357.948	96	-49	34	6.720	-3.430	2.380	38	25.148	-0.203295	-0.533801	0.530870	0.625868	
84696	1795	-3637	1474	437.980	-887.428	359.656	77	-38	44	5.390	-2.660	3.080	38	25.148	-0.203090	-0.533609	0.531425	0.625627	
94050	1775	-3700	1450	433.100	-902.800	353.800	70	-34	51	4.900	-2.380	3.570	35	25.137	-0.203151	-0.533397	0.532006	0.625294	
103407	1765	-3738	1459	430.660	-912.072	355.996	80	-32	70	5.600	-2.240	4.900	35	25.137	-0.203365	-0.533222	0.532593	0.624874	
112762	1789	-3735	1413	436.516	-911.340	344.772	100	-33	93	7.000	-2.310	6.510	37	25.145	-0.203640	-0.532980	0.533292	0.624396	
122117	1782	-3682	1386	434.808	-898.408	338.184	128	-40	113	8.960	-2.800	7.910	37	25.145	-0.203892	-0.532751	0.534067	0.623846	
131471	1739	-3600	1383	424.316	-878.400	337.452	155	-50	129	10.850	-3.500	9.030	35	25.137	-0.204052	-0.532472	0.534975	0.623254	
140826	1682	-3520	1354	410.408	-858.880	330.376	169	-58	137	11.830	-4.060	9.590	35	25.137	-0.204111	-0.532089	0.536046	0.622640	
150181	1632	-3459	1359	398.208	-843.996	331.596	170	-67	132	11.900	-4.690	9.240	37	25.145	-0.204135	-0.531674	0.537207	0.621986	
159536	1617	-3434	1413	394.548	-837.896	344.772	161	-72	122	11.270	-5.040	8.540	37	25.145	-0.204115	-0.531238	0.538396	0.621337	
168892	1606	-3412	1452	391.864	-832.528	354.288	144	-74	109	10.080	-5.180	7.630	34	25.133	-0.204034	-0.530760	0.539571	0.620753	
178247	1605	-3410	1486	391.620	-832.040	362.584	120	-77	94	8.400	-5.390	6.580	34	25.133	-0.203929	-0.530286	0.540679	0.620228	
187603	1575	-3414	1524	384.300	-833.016	371.856	100	-70	73	7.000	-4.900	5.110	43	25.168	-0.203824	-0.529866	0.541682	0.619745	
196958	1544	-3441	1567	376.736	-839.604	382.348	80	-59	44	5.600	-4.130	3.080	43	25.168	-0.203765	-0.529428	0.542596	0.619340	
206313	1552	-3501	1591	378.688	-854.244	388.204	68	-49	28	4.760	-3.430	1.960	44	25.172	-0.203762	-0.528966	0.543394	0.619036	
215669	1615	-3562	1595	394.060	-869.128	389.180	64	-39	25	4.480	-2.730	1.750	44	25.172	-0.203809	-0.528521	0.544097	0.618783	
225024	1704	-3608	1613	415.776	-880.352	393.572	67	-31	29	4.690	-2.170	2.030	32	25.125	-0.203851	-0.528136	0.544703	0.618564	
234380	1764	-3640	1588	430.416	-888.160	387.472	69	-21	39	4.830	-1.470	2.730	32	25.125	-0.203819	-0.527782	0.545247	0.618398	
243735	1802	-3626	1532	439.688	-884.744	373.808	74	-19	58	5.180	-1.330	4.060	41	25.160	-0.203800	-0.527482	0.545741	0.618225	
