Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	AFE_CHANNEL [#]	QVAR [LSB]	
2096	3088	-16272	9632	188.368	-992.592	587.552	1	-9344	
7054	3088	-16464	9840	188.368	-1004.304	600.240	0	-9104	
12011	2992	-16592	9872	182.512	-1012.112	602.192	1	-8848	
16967	2928	-16640	9648	178.608	-1015.040	588.528	0	-8384	
21923	2736	-16592	9312	166.896	-1012.112	568.032	1	-8016	
26880	2560	-16416	9056	156.160	-1001.376	552.416	0	-7616	
31837	2352	-16176	8992	143.472	-986.736	548.512	1	-7168	
36792	2160	-16080	9120	131.760	-980.880	556.320	0	-6752	
41751	2064	-16016	9392	125.904	-976.976	572.912	1	-6464	
46706	1952	-16000	9792	119.072	-976.000	597.312	0	-6096	
51666	1952	-16096	10096	119.072	-981.856	615.856	1	-5824	
56622	1904	-16080	10432	116.144	-980.880	636.352	0	-5680	
61579	1856	-15904	10768	113.216	-970.144	656.848	1	-5520	
66535	2064	-15888	10880	125.904	-969.168	663.680	0	-5376	
71492	2160	-15632	10752	131.760	-953.552	655.872	1	-5344	
76449	2256	-15472	10512	137.616	-943.792	641.232	0	-5440	
81404	2336	-14992	10080	142.496	-914.512	614.880	1	-5728	
86361	2448	-14608	9520	149.328	-891.088	580.720	0	-6032	
91317	2608	-14256	9088	159.088	-869.616	554.368	1	-6640	
96274	2656	-13968	8864	162.016	-852.048	540.704	0	-7312	
101230	2784	-13872	8896	169.824	-846.192	542.656	1	-8000	
106186	2976	-13840	8976	181.536	-844.240	547.536	0	-8960	
111142	3264	-14032	9072	199.104	-855.952	553.392	1	-10000	
116099	3456	-14352	9296	210.816	-875.472	567.056	0	-11344	
121055	3552	-14800	9792	216.672	-902.800	597.312	1	-12880	
126012	3520	-15280	10272	214.720	-932.080	626.592	0	-14528	
130969	3536	-15696	10592	215.696	-957.456	646.112	1	-16240	
135925	3536	-15952	10544	215.696	-973.072	643.184	0	-18048	
140880	3584	-16192	10240	218.624	-987.712	624.640	1	-19888	
145838	3632	-16192	9760	221.552	-987.712	595.360	0	-21728	
150793	3680	-16016	9376	224.480	-976.976	571.936	1	-23392	
155751	3552	-15600	9104	216.672	-951.600	555.344	0	-25072	
160708	3120	-14816	8800	190.320	-903.776	536.800	1	-26624	
165664	2688	-13856	8528	163.968	-845.216	520.208	0	-28080	
170619	2528	-12704	7984	154.208	-774.944	487.024	1	-29392	
175575	2816	-11744	7328	171.776	-716.384	447.008	0	-30704	
180531	3296	-11056	6864	201.056	-674.416	418.704	1	-32064	
185486	3872	-10608	6672	236.192	-647.088	406.992	0	-32768	
190442	4304	-10448	6880	262.544	-637.328	419.680	1	-32768	
195398	4496	-10560	7280	274.256	-644.160	444.080	0	-32768	
200354	4320	-10960	7840	263.520	-668.560	478.240	1	-32768	
205308	4128	-11552	8352	251.808	-704.672	509.472	0	-32768	
210266	3728	-12240	8624	227.408	-746.640	526.064	1	-32768	
215220	3568	-12944	8704	217.648	-789.584	530.944	0	-32768	
220178	3440	-13696	8592	209.840	-835.456	524.112	1	-32768	
225135	3520	-14512	8352	214.720	-885.232	509.472	0	-32768	
230091	3664	-15184	8144	223.504	-926.224	496.784	1	-32768	
235047	4064	-15840	7872	247.904	-966.240	480.192	0	-32768	
240003	4480	-16416	7776	273.280	-1001.376	474.336	1	-32768	
244959	4832	-16864	7712	294.752	-1028.704	470.432	0	-32768	
249915	5248	-17184	7632	320.128	-1048.224	465.552	1	-32768	
254871	5584	-17424	7712	340.624	-1062.864	470.432	0	-32768	
259827	5856	-17392	7936	357.216	-1060.912	484.096	1	-32768	
264783	6080	-17088	8144	370.880	-1042.368	496.784	0	-32768	
269740	6032	-16608	8384	367.952	-1013.088	511.424	1	-32768	
274696	5840	-16016	8592	356.240	-976.976	524.112	0	-32768	
279651	5584	-15328	9024	340.624	-935.008	550.464	1	-32768	
284609	5216	-14864	9632	318.176	-906.704	587.552	0	-32768	
289566	4784	-14480	10176	291.824	-883.280	620.736	1	-32768	
294522	4560	-14160	10304	278.160	-863.760	628.544	0	-32768	
299478	4384	-13904	10112	267.424	-848.144	616.832	1	-32768	
304434	4240	-13536	9760	258.640	-825.696	595.360	0	-32768	
309391	4160	-13184	9488	253.760	-804.224	578.768	1	-29248	
314347	4128	-12976	9664	251.808	-791.536	589.504	0	-24640	
319304	4000	-12720	9936	244.000	-775.920	606.096	1	-20320	
324260	4192	-12400	10224	255.712	-756.400	623.664	0	-16128	
329217	4304	-12112	10576	262.544	-738.832	645.136	1	-12224	
334172	4544	-11808	10848	277.184	-720.288	661.728	0	-8464	
339128	4768	-11632	11056	290.848	-709.552	674.416	1	-4736	
344084	4944	-11536	11136	301.584	-703.696	679.296	0	-976	
349040	5136	-11536	11360	313.296	-703.696	692.960	1	2736	
353996	5168	-11632	11568	315.248	-709.552	705.648	0	6688	
358951	5280	-11856	11696	322.080	-723.216	713.456	1	10800	
363907	5280	-12240	11792	322.080	-746.640	719.312	0	14896	
368863	5056	-12752	11648	308.416	-777.872	710.528	1	19040	
373820	4784	-13136	11392	291.824	-801.296	694.912	0	23312	
378777	4512	-13360	11200	275.232	-814.960	683.200	1	27456	
383735	4160	-13456	11280	253.760	-820.816	688.080	0	31520	
388692	3840	-13456	11488	234.240	-820.816	700.768	1	32752	
393649	3488	-13520	11712	212.768	-824.720	714.432	0	32752	
398604	3040	-13440	12080	185.440	-819.840	736.880	1	32752	
403560	2752	-13232	12160	167.872	-807.152	741.760	0	32752	
