Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
2476	5184	-15392	-992	316.224	-938.912	-60.512	1712	
7433	5264	-15488	-944	321.104	-944.768	-57.584	1664	
12390	5424	-15552	-960	330.864	-948.672	-58.560	1664	
17346	5648	-15584	-960	344.528	-950.624	-58.560	1584	
22303	5776	-15584	-992	352.336	-950.624	-60.512	1536	
27261	5776	-15632	-1040	352.336	-953.552	-63.440	1472	
32216	5728	-15568	-1088	349.408	-949.648	-66.368	1392	
37172	5696	-15504	-1104	347.456	-945.744	-67.344	1360	
42129	5600	-15536	-1088	341.600	-947.696	-66.368	1264	
47085	5568	-15568	-1008	339.648	-949.648	-61.488	1216	
52042	5504	-15504	-944	335.744	-945.744	-57.584	1136	
56998	5552	-15440	-864	338.672	-941.840	-52.704	1088	
61954	5520	-15344	-880	336.720	-935.984	-53.680	1024	
66912	5536	-15264	-912	337.696	-931.104	-55.632	976	
71868	5552	-15312	-976	338.672	-934.032	-59.536	880	
76821	5584	-15264	-1056	340.624	-931.104	-64.416	848	
81779	5536	-15312	-1072	337.696	-934.032	-65.392	800	
86736	5552	-15312	-1024	338.672	-934.032	-62.464	720	
91690	5504	-15264	-1024	335.744	-931.104	-62.464	688	
96648	5520	-15312	-992	336.720	-934.032	-60.512	672	
101604	5504	-15376	-1024	335.744	-937.936	-62.464	624	
106561	5568	-15424	-960	339.648	-940.864	-58.560	592	
111517	5568	-15424	-976	339.648	-940.864	-59.536	544	
116473	5520	-15376	-912	336.720	-937.936	-55.632	480	
121430	5632	-15408	-880	343.552	-939.888	-53.680	432	
126386	5552	-15456	-896	338.672	-942.816	-54.656	448	
131344	5536	-15472	-880	337.696	-943.792	-53.680	352	
136299	5488	-15456	-880	334.768	-942.816	-53.680	304	
141255	5520	-15440	-896	336.720	-941.840	-54.656	352	
146212	5536	-15472	-944	337.696	-943.792	-57.584	288	
151169	5520	-15440	-976	336.720	-941.840	-59.536	272	
156125	5584	-15392	-992	340.624	-938.912	-60.512	176	
161082	5712	-15312	-960	348.432	-934.032	-58.560	160	
166038	5664	-15312	-992	345.504	-934.032	-60.512	128	
170995	5664	-15360	-1024	345.504	-936.960	-62.464	96	
175952	5696	-15344	-992	347.456	-935.984	-60.512	32	
180908	5744	-15440	-992	350.384	-941.840	-60.512	96	
185864	5648	-15408	-960	344.528	-939.888	-58.560	-16	
190819	5600	-15408	-960	341.600	-939.888	-58.560	-64	
195774	5536	-15408	-992	337.696	-939.888	-60.512	0	
200732	5472	-15376	-944	333.792	-937.936	-57.584	-128	
205688	5440	-15312	-976	331.840	-934.032	-59.536	-96	
210644	5408	-15328	-1024	329.888	-935.008	-62.464	-112	
215601	5408	-15312	-992	329.888	-934.032	-60.512	-112	
220556	5440	-15360	-1040	331.840	-936.960	-63.440	-160	
225513	5488	-15472	-1008	334.768	-943.792	-61.488	-96	
230468	5392	-15472	-1008	328.912	-943.792	-61.488	-224	
235425	5456	-15520	-960	332.816	-946.720	-58.560	-192	
240381	5440	-15568	-944	331.840	-949.648	-57.584	-208	
245337	5408	-15504	-960	329.888	-945.744	-58.560	-256	
250294	5504	-15440	-976	335.744	-941.840	-59.536	-256	
255250	5472	-15440	-976	333.792	-941.840	-59.536	-288	
260206	5488	-15408	-976	334.768	-939.888	-59.536	-256	
265163	5552	-15344	-992	338.672	-935.984	-60.512	-320	
270119	5584	-15360	-976	340.624	-936.960	-59.536	-320	
275075	5648	-15360	-960	344.528	-936.960	-58.560	-336	
280031	5632	-15376	-1072	343.552	-937.936	-65.392	-336	
284987	5680	-15392	-1024	346.480	-938.912	-62.464	-352	
289945	5648	-15408	-1056	344.528	-939.888	-64.416	-320	
294901	5600	-15472	-1056	341.600	-943.792	-64.416	-352	
299859	5568	-15504	-992	339.648	-945.744	-60.512	-352	
304815	5600	-15520	-1008	341.600	-946.720	-61.488	-384	
309771	5600	-15520	-960	341.600	-946.720	-58.560	-368	
314728	5568	-15584	-992	339.648	-950.624	-60.512	-400	
319684	5584	-15584	-992	340.624	-950.624	-60.512	-384	
324640	5664	-15536	-992	345.504	-947.696	-60.512	-432	
329597	5696	-15504	-1056	347.456	-945.744	-64.416	-496	
334553	5632	-15408	-1088	343.552	-939.888	-66.368	-416	
339509	5680	-15360	-1104	346.480	-936.960	-67.344	-448	
344465	5616	-15344	-1120	342.576	-935.984	-68.320	-448	
349420	5600	-15376	-1152	341.600	-937.936	-70.272	-512	
354376	5552	-15408	-1136	338.672	-939.888	-69.296	-464	
359332	5568	-15456	-1088	339.648	-942.816	-66.368	-480	
364289	5552	-15456	-1056	338.672	-942.816	-64.416	-464	
369245	5552	-15568	-1024	338.672	-949.648	-62.464	-432	
374201	5520	-15488	-1008	336.720	-944.768	-61.488	-416	
379155	5600	-15520	-1008	341.600	-946.720	-61.488	-480	
384114	5552	-15504	-992	338.672	-945.744	-60.512	-512	
389070	5584	-15472	-976	340.624	-943.792	-59.536	-384	
394026	5728	-15440	-1024	349.408	-941.840	-62.464	-416	
398983	5696	-15456	-1056	347.456	-942.816	-64.416	-416	
403938	5776	-15376	-992	352.336	-937.936	-60.512	-464	
