Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]
2164	7520	-4800	13216	458.72	-292.8	806.176	560
7118	7568	-4832	13280	461.648	-294.752	810.08	416
12072	7520	-4832	13152	458.72	-294.752	802.272	512
17027	7552	-4880	13152	460.672	-297.68	802.272	320
21983	7504	-4848	13152	457.744	-295.728	802.272	464
26939	7488	-4848	13168	456.768	-295.728	803.248	288
31895	7488	-4944	13152	456.768	-301.584	802.272	400
36850	7424	-5008	13184	452.864	-305.488	804.224	272
41805	7408	-4960	13280	451.888	-302.56	810.08	288
46760	7520	-4944	13248	458.72	-301.584	808.128	352
51716	7520	-4880	13248	458.72	-297.68	808.128	208
56672	7568	-4880	13248	461.648	-297.68	808.128	208
61626	7616	-4816	13328	464.576	-293.776	813.008	208
66583	7616	-4880	13312	464.576	-297.68	812.032	64
71539	7552	-4896	13344	460.672	-298.656	813.984	192
76496	7552	-4832	13328	460.672	-294.752	813.008	80
81451	7568	-4896	13344	461.648	-298.656	813.984	192
86407	7632	-4864	13280	465.552	-296.704	810.08	48
91364	7488	-4944	13200	456.768	-301.584	805.2	48
96320	7536	-4912	13312	459.696	-299.632	812.032	112
101273	7472	-4928	13248	455.792	-300.608	808.128	80
106227	7488	-4896	13312	456.768	-298.656	812.032	48
111184	7552	-4944	13312	460.672	-301.584	812.032	-16
116139	7424	-4880	13312	452.864	-297.68	812.032	-48
121094	7472	-4912	13360	455.792	-299.632	814.96	16
126048	7568	-4960	13312	461.648	-302.56	812.032	-64
131006	7584	-4944	13280	462.624	-301.584	810.08	48
135959	7552	-4896	13328	460.672	-298.656	813.008	-64
140916	7712	-4928	13264	470.432	-300.608	809.104	-96
145872	7728	-4896	13280	471.408	-298.656	810.08	0
150828	7600	-4816	13376	463.6	-293.776	815.936	-160
155784	7696	-4880	13408	469.456	-297.68	817.888	-48
160739	7712	-4832	13376	470.432	-294.752	815.936	-80
165695	7680	-4896	13360	468.48	-298.656	814.96	-96
170649	7696	-4960	13376	469.456	-302.56	815.936	-112
175606	7776	-5040	13424	474.336	-307.44	818.864	-96
180562	7744	-5152	13408	472.384	-314.272	817.888	16
185517	7824	-5328	13472	477.264	-325.008	821.792	-128
190473	7792	-5504	13520	475.312	-335.744	824.72	-240
195429	7728	-5776	13568	471.408	-352.336	827.648	-80
200384	7712	-5920	13584	470.432	-361.12	828.624	-288
205340	7632	-6048	13776	465.552	-368.928	840.336	-208
210296	7520	-6064	13888	458.72	-369.904	847.168	-224
215252	7488	-5968	13904	456.768	-364.048	848.144	-240
220206	7504	-5824	13952	457.744	-355.264	851.072	-336
225161	7440	-5552	13952	453.84	-338.672	851.072	-336
230117	7408	-5152	14032	451.888	-314.272	855.952	-336
235073	7408	-4928	14000	451.888	-300.608	854	-416
240029	7520	-4464	13968	458.72	-272.304	852.048	-544
244985	7600	-4176	13936	463.6	-254.736	850.096	-480
249941	7712	-4016	13872	470.432	-244.976	846.192	-560
254896	7744	-3840	13840	472.384	-234.24	844.24	-576
259852	7760	-3712	13840	473.36	-226.432	844.24	-672
264807	7760	-3616	13824	473.36	-220.576	843.264	-576
269763	7840	-3632	13744	478.24	-221.552	838.384	-768
274719	7792	-3680	13568	475.312	-224.48	827.648	-800
279675	7840	-3728	13584	478.24	-227.408	828.624	-704
284630	7776	-3744	13520	474.336	-228.384	824.72	-768
289585	7792	-3792	13520	475.312	-231.312	824.72	-800
294542	7840	-3840	13472	478.24	-234.24	821.792	-784
299497	7680	-3872	13440	468.48	-236.192	819.84	-736
304453	7872	-3952	13472	480.192	-241.072	821.792	-800
309408	7840	-3936	13472	478.24	-240.096	821.792	-944
314363	7952	-4016	13408	485.072	-244.976	817.888	-768
319318	7760	-4016	13424	473.36	-244.976	818.864	-832
324274	7776	-4112	13376	474.336	-250.832	815.936	-848
329228	7712	-4128	13184	470.432	-251.808	804.224	-688
334184	7632	-4032	13120	465.552	-245.952	800.32	-784
339140	7664	-4080	12912	467.504	-248.88	787.632	-784
344095	7552	-3984	12864	460.672	-243.024	784.704	-752
349050	7344	-3872	12832	447.984	-236.192	782.752	-720
354004	7344	-3856	12752	447.984	-235.216	777.872	-752
358960	7344	-3792	12784	447.984	-231.312	779.824	-736
363915	7184	-3632	12800	438.224	-221.552	780.8	-608
368871	7136	-3552	12832	435.296	-216.672	782.752	-672
373827	7040	-3312	12896	429.44	-202.032	786.656	-720
378782	7296	-3392	12880	445.056	-206.912	785.68	-624
383737	7072	-3232	13008	431.392	-197.152	793.488	-656
388692	7152	-3200	13056	436.272	-195.2	796.416	-640
393647	7280	-3232	13024	444.08	-197.152	794.464	-560
398602	7296	-3312	13072	445.056	-202.032	797.392	-464
403556	7360	-3408	13072	448.96	-207.888	797.392	-512
408512	7392	-3472	13040	450.912	-211.792	795.44	-416
413467	7424	-3520	12944	452.864	-214.72	789.584	-288
418421	7424	-3664	12864	452.864	-223.504	784.704	-336
423377	7408	-3760	12928	451.888	-229.36	788.608	-352
428332	7392	-3856	12928	450.912	-235.216	788.608	-288
433287	7344	-4016	12944	447.984	-244.976	789.584	-224
438242	7264	-4144	12928	443.104	-252.784	788.608	-144
443197	7264	-4256	12992	443.104	-259.616	792.512	-144
448153	7136	-4352	13072	435.296	-265.472	797.392	-32
453108	7104	-4448	13200	433.344	-271.328	805.2	-144
458063	7040	-4528	13216	429.44	-276.208	806.176	-64
463019	6976	-4576	13424	425.536	-279.136	818.864	0
467975	6944	-4528	13536	423.584	-276.208	825.696	-48
472930	6976	-4672	13520	425.536	-284.992	824.72	0
477884	6960	-4768	13632	424.56	-290.848	831.552	16
482842	6976	-4768	13728	425.536	-290.848	837.408	-48
487796	6928	-4864	13776	422.608	-296.704	840.336	32
492754	6928	-4880	13840	422.608	-297.68	844.24	-32
497710	6992	-4880	13872	426.512	-297.68	846.192	160
502665	6992	-4800	13840	426.512	-292.8	844.24	-48
507620	6992	-4816	13984	426.512	-293.776	853.024	-64
512574	6928	-4736	13952	422.608	-288.896	851.072	48
517530	7024	-4592	13952	428.464	-280.112	851.072	-48
522485	7104	-4544	13856	433.344	-277.184	845.216	-16
527441	7072	-4512	13872	431.392	-275.232	846.192	0
532396	7184	-4544	13904	438.224	-277.184	848.144	-16
537351	7200	-4528	13872	439.2	-276.208	846.192	-48
542305	7120	-4560	13872	434.32	-278.16	846.192	-32
547263	7136	-4576	13760	435.296	-279.136	839.36	48
552216	7040	-4512	13712	429.44	-275.232	836.432	48
557173	7072	-4512	13632	431.392	-275.232	831.552	-112
562127	7152	-4496	13632	436.272	-274.256	831.552	-16
567085	7184	-4432	13664	438.224	-270.352	833.504	-112
572041	7232	-4368	13664	441.152	-266.448	833.504	-16
576996	7216	-4384	13744	440.176	-267.424	838.384	-64
581952	7232	-4352	13776	441.152	-265.472	840.336	16
586907	7232	-4448	13728	441.152	-271.328	837.408	-48
591863	7232	-4448	13728	441.152	-271.328	837.408	-48
596818	7248	-4464	13600	442.128	-272.304	829.6	16
601774	7072	-4384	13520	431.392	-267.424	824.72	-64
606730	7040	-4448	13456	429.44	-271.328	820.816	-64
611686	6976	-4368	13520	425.536	-266.448	824.72	-32
616641	7040	-4368	13520	429.44	-266.448	824.72	-80
621597	6976	-4320	13520	425.536	-263.52	824.72	-96
626553	6976	-4272	13456	425.536	-260.592	820.816	-144
631508	6976	-4240	13520	425.536	-258.64	824.72	16
636463	6976	-4192	13520	425.536	-255.712	824.72	-144
641418	7024	-4304	13568	428.464	-262.544	827.648	-176
646374	7056	-4416	13568	430.416	-269.376	827.648	-32
651329	6992	-4464	13584	426.512	-272.304	828.624	-176
656284	6992	-4464	13520	426.512	-272.304	824.72	-144
661239	7056	-4560	13552	430.416	-278.16	826.672	-96
666194	7184	-4512	13472	438.224	-275.232	821.792	-128
671148	7216	-4560	13504	440.176	-278.16	823.744	-96
676105	7296	-4528	13504	445.056	-276.208	823.744	-208
681061	7408	-4560	13536	451.888	-278.16	825.696	16
686017	7488	-4560	13600	456.768	-278.16	829.6	-160
690973	7456	-4656	13584	454.816	-284.016	828.624	-160
695928	7520	-4672	13600	458.72	-284.992	829.6	-48
700882	7616	-4640	13632	464.576	-283.04	831.552	-160
705838	7632	-4688	13616	465.552	-285.968	830.576	-112
710795	7600	-4736	13584	463.6	-288.896	828.624	-160
715750	7568	-4736	13536	461.648	-288.896	825.696	-144
720707	7536	-4784	13488	459.696	-291.824	822.768	-192
725662	7504	-4784	13472	457.744	-291.824	821.792	-192
730617	7424	-4816	13440	452.864	-293.776	819.84	32
735572	7424	-4848	13440	452.864	-295.728	819.84	-128
740528	7472	-4912	13360	455.792	-299.632	814.96	-176
745483	7328	-4912	13408	447.008	-299.632	817.888	0
750439	7264	-4976	13440	443.104	-303.536	819.84	-208
755395	7280	-4944	13456	444.08	-301.584	820.816	-128
760350	7216	-4912	13488	440.176	-299.632	822.768	-176
765306	7296	-4912	13440	445.056	-299.632	819.84	-16
770261	7264	-4880	13440	443.104	-297.68	819.84	-80
775217	7232	-4880	13456	441.152	-297.68	820.816	-96
780172	7296	-4928	13472	445.056	-300.608	821.792	48
785128	7408	-4960	13440	451.888	-302.56	819.84	-160
790084	7440	-5104	13488	453.84	-311.344	822.768	-176
795039	7472	-5104	13392	455.792	-311.344	816.912	-112
799994	7504	-5152	13312	457.744	-314.272	812.032	-176
